組別,員工姓名,員工工號,廠區,歌名,原唱歌手
華語組,test,0068001,日月光高雄廠,小幸運,田馥甄
華語組,test,0068002,日月光中壢廠,聽海,張惠妹
華語組,test,0068003,矽品精密,約定,周蕙
華語組,test,0068004,環鴻科技,征服,那英
華語組,test,0068005,日月光高雄廠,月亮代表我的心,鄧麗君
華語組,test,0068006,日月光中壢廠,身騎白馬,徐佳瑩
華語組,test,0068007,矽品精密,你把我灌醉,黃大煒
華語組,test,0068008,日月光高雄廠,天黑黑,孫燕姿
華語組,test,0068009,環鴻科技,新不了情,萬芳
華語組,test,0068010,日月光高雄廠,勇氣,梁靜茹
外語組,test,0068011,日月光高雄廠,My Heart Will Go On,Celine Dion
外語組,test,0068012,日月光中壢廠,Perfect,Ed Sheeran
外語組,test,0068013,矽品精密,Rolling in the Deep,Adele
外語組,test,0068014,環鴻科技,Yêu Một Người Vô Tâm,Chi Dân
外語組,test,0068015,日月光高雄廠,Shallow,Lady Gaga
外語組,test,0068016,日月光中壢廠,Thinking Out Loud,Ed Sheeran
外語組,test,0068017,矽品精密,Cause You Are My Everything,Sungha Jung
外語組,test,0068018,日月光高雄廠,Someone Like You,Adele
外語組,test,0068019,環鴻科技,Bento,Iwan Fals
外語組,test,0068020,日月光高雄廠,Because You Loved Me,Celine Dion
